function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
695;libm.so.6;f32subf64x;;25.078523635864;2.7949998378754;0;0;0;0;0;25.078523635864;2.7949998378754;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";f32subf64x;;
492;main;QuadTree::calculateForce(Particle*, double&, double&) const;;15.926432609558;1.7749999761581;0;0;0;0;0;15.926432609558;1.7749999761581;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree14calculateForceEP8ParticleRdS2_;;
491;main;calcForce(Particle*, Particle*, double&, double&);;11.081209182739;1.2350000143051;0;0;0;0;0;11.081209182739;1.2350000143051;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_Z9calcForceP8ParticleS0_RdS1_;;
490;main;QuadTree::distance(double, double, double, double) const;;8.9277744293213;0.99499988555908;0;0;0;0;0;8.9277744293213;0.99499988555908;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree8distanceEdddd;;
484;libm.so.6;__sqrt_finite;;6.6397523880005;0.74000000953674;0;0;0;0;0;6.6397523880005;0.74000000953674;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__sqrt_finite;;
466;main;Particle::getY() const;;4.7106356620789;0.52500003576279;0;0;0;0;0;4.7106356620789;0.52500003576279;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getYEv;;
465;main;Particle::getX() const;;4.5760455131531;0.50999999046326;0;0;0;0;0;4.5760455131531;0.50999999046326;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getXEv;;
458;libm.so.6;pow;;3.4544658660889;0.38499999046326;0;0;0;0;0;3.4544658660889;0.38499999046326;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";pow;;
77;libm.so.6;f32xsqrtf64;;3.4544658660889;0.38499999046326;0;0;0;0;0;3.4544658660889;0.38499999046326;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";f32xsqrtf64;;
467;main;Particle::getMass() const;;3.1404235363007;0.34999999403954;0;0;0;0;0;3.1404235363007;0.34999999403954;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle7getMassEv;;
489;main;QuadTree::updateCenterOfMass(Particle*);;2.0637068748474;0.23000000417233;0;0;0;0;0;2.0637068748474;0.23000000417233;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree18updateCenterOfMassEP8Particle;;
487;main;QuadTree::insertSimple(Particle*);;1.7945276498795;0.20000000298023;0;0;0;0;0;1.7945276498795;0.20000000298023;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree12insertSimpleEP8Particle;;
336;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;1.3010326623917;0.14500001072884;0;0;0;0;0;1.3010326623917;0.14500001072884;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_end;;
2132;libmpi.so.40.40.7;mca_pml_base_select;;0.76267427206039;0.08500000089407;0;0;0;0;0;0.76267427206039;0.08500000089407;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";mca_pml_base_select;;
497;main;QuadTree::recycle();;0.7178111076355;0.080000005662441;0;0;0;0;0;0.7178111076355;0.080000005662441;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree7recycleEv;;
468;main;Particle::setX(double);;0.67294788360596;0.075000002980232;0;0;0;0;0;0.67294788360596;0.075000002980232;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle4setXEd;;
498;main;QuadTree::reset();;0.53835833072662;0.060000002384186;0;0;0;0;0;0.53835833072662;0.060000002384186;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree5resetEv;;
515;main;QuadTree::updateParticles(double) [clone ._omp_fn.0];;0.35890558362007;0.040000002831221;0;0;0;0;0;9.0081684334109e-09;1.00395980418e-09;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.0;;
469;main;Particle::setY(double);;0.31404232978821;0.034999996423721;0;0;0;0;0;0.31404232978821;0.034999996423721;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle4setYEd;;
585;main;__gnu_cxx::__normal_iterator<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > >::base() const;;0.26917919516563;0.030000003054738;0;0;0;0;0;0.26917919516563;0.030000003054738;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK9__gnu_cxx17__normal_iteratorIPP8QuadTreeSt6vectorIS2_SaIS2_EEE4baseEv;;
450;libopen-pal.so.80.0.5;opal_dl_base_select;;0.26917916536331;0.030000001192093;0;0;0;0;0;0.26917916536331;0.030000001192093;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";opal_dl_base_select;;
16;main;operator new(unsigned long, void*);;0.26917916536331;0.030000001192093;0;0;0;0;0;0.26917916536331;0.030000001192093;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZnwmPv;;
813;libc.so.6;__libc_free;;0.22431598603725;0.025000002235174;0;0;0;0;0;0.22431598603725;0.025000002235174;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
811;libc.so.6;__default_morecore;;0.22431598603725;0.025000002235174;0;0;0;0;0;0.22431598603725;0.025000002235174;0;0;0;0;0;;"0,19.999999196832,0,0,80.000000803168,0,0,0,0,0";__default_morecore;;
6;libopen-pal.so.80.0.5;opal_progress;;0.22431598603725;0.025000002235174;0;0;0;0;0;0.22431598603725;0.025000002235174;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";opal_progress;;
1164;libc.so.6;__sched_yield;;0.17945277690887;0.02000000141561;0;0;0;0;0;0.17945277690887;0.02000000141561;0;0;0;0;0;;"0,50,0,0,50,0,0,0,0,0";__sched_yield;;
544;main;bool __gnu_cxx::operator!=<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > >(__gnu_cxx::__normal_iterator<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > > const&, __gnu_cxx::__normal_iterator<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > > const&);;0.17945277690887;0.02000000141561;0;0;0;0;0;0.17945277690887;0.02000000141561;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxxneIPP8QuadTreeSt6vectorIS2_SaIS2_EEEEbRKNS_17__normal_iteratorIT_T0_EESC_;;
500;main;QuadTree::buildTree();;0.17945277690887;0.02000000141561;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree9buildTreeEv;;
488;main;QuadTree::subdivide();;0.17945277690887;0.02000000141561;0;0;0;0;0;0.17945277690887;0.02000000141561;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree9subdivideEv;;
50;main;std::vector<double, std::allocator<double> >::operator[](unsigned long);;0.17945277690887;0.02000000141561;0;0;0;0;0;0.17945277690887;0.02000000141561;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIdSaIdEEixEm;;
613;main;__gnu_cxx::__normal_iterator<QuadTree* const*, std::vector<QuadTree*, std::allocator<QuadTree*> > >::__normal_iterator(QuadTree* const* const&);;0.13458958268166;0.015000000596046;0;0;0;0;0;0.13458958268166;0.015000000596046;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxx17__normal_iteratorIPKP8QuadTreeSt6vectorIS2_SaIS2_EEEC1ERKS4_;;
546;main;__gnu_cxx::__normal_iterator<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > >::operator*() const;;0.13458958268166;0.015000000596046;0;0;0;0;0;0.13458958268166;0.015000000596046;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK9__gnu_cxx17__normal_iteratorIPP8QuadTreeSt6vectorIS2_SaIS2_EEEdeEv;;
543;main;std::vector<QuadTree*, std::allocator<QuadTree*> >::end();;0.13458958268166;0.015000000596046;0;0;0;0;0;0.13458958268166;0.015000000596046;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIP8QuadTreeSaIS1_EE3endEv;;
496;main;QuadTree::getNode(double, double, double, int);;0.13458958268166;0.015000000596046;0;0;0;0;0;0.13458958268166;0.015000000596046;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree7getNodeEdddi;;
690;libopen-pal.so.80.0.5;mca_btl_sm_send;;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";mca_btl_sm_send;;
584;main;__gnu_cxx::__normal_iterator<QuadTree**, std::vector<QuadTree*, std::allocator<QuadTree*> > >::__normal_iterator(QuadTree** const&);;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxx17__normal_iteratorIPP8QuadTreeSt6vectorIS2_SaIS2_EEEC1ERKS3_;;
575;main;void std::vector<QuadTree*, std::allocator<QuadTree*> >::emplace_back<QuadTree*>(QuadTree*&&);;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIP8QuadTreeSaIS1_EE12emplace_backIJS1_EEEvDpOT_;;
550;main;double const& std::max<double>(double const&, double const&);;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt3maxIdERKT_S2_S2_;;
548;main;std::vector<QuadTree*, std::allocator<QuadTree*> >::back();;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIP8QuadTreeSaIS1_EE4backEv;;
362;libc.so.6;parse_printf_format;;0.089726388454437;0.010000000707805;0;0;0;0;0;0.089726388454437;0.010000000707805;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";parse_printf_format;;
134;main;__gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&);;0.089726388454437;0.010000000707805;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt9__fill_a1IPddEN9__gnu_cxx11__enable_ifIXsrSt11__is_scalarIT0_E7__valueEvE6__typeET_S8_RKS4_;;
3475;libstdc++.so.6.0.33;std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE15_M_insert_floatIdEES3_S3_RSt8ios_baseccT_;;
1975;libmpi.so.40.40.7;ompi_op_base_op_select;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";ompi_op_base_op_select;;
940;libstdc++.so.6.0.33;std::codecvt<char, char, __mbstate_t>::do_always_noconv() const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZNKSt7codecvtIcc11__mbstate_tE16do_always_noconvEv;;
812;libc.so.6;__libc_malloc;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
810;libc.so.6;timer_settime;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";timer_settime;;
803;libopen-pal.so.80.0.5;mca_smsc_cma_deregister_region;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";mca_smsc_cma_deregister_region;;
616;main;__gnu_cxx::__normal_iterator<QuadTree* const*, std::vector<QuadTree*, std::allocator<QuadTree*> > >::base() const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK9__gnu_cxx17__normal_iteratorIPKP8QuadTreeSt6vectorIS2_SaIS2_EEE4baseEv;;
602;main;QuadTree*&& std::forward<QuadTree*>(std::remove_reference<QuadTree*>::type&);;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt7forwardIP8QuadTreeEOT_RNSt16remove_referenceIS2_E4typeE;;
586;main;bool __gnu_cxx::operator==<QuadTree* const*, std::vector<QuadTree*, std::allocator<QuadTree*> > >(__gnu_cxx::__normal_iterator<QuadTree* const*, std::vector<QuadTree*, std::allocator<QuadTree*> > > const&, __gnu_cxx::__normal_iterator<QuadTree* const*, std::vector<QuadTree*, std::allocator<QuadTree*> > > const&);;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxxeqIPKP8QuadTreeSt6vectorIS2_SaIS2_EEEEbRKNS_17__normal_iteratorIT_T0_EESD_;;
547;main;std::vector<QuadTree*, std::allocator<QuadTree*> >::empty() const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNKSt6vectorIP8QuadTreeSaIS1_EE5emptyEv;;
542;main;std::vector<QuadTree*, std::allocator<QuadTree*> >::begin();;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIP8QuadTreeSaIS1_EE5beginEv;;
538;main;std::vector<QuadTree*, std::allocator<QuadTree*> >::push_back(QuadTree*&&);;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIP8QuadTreeSaIS1_EE9push_backEOS1_;;
517;main;std::abs(double);;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt3absd;;
507;main;QuadTree::getOriginY() const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree10getOriginYEv;;
506;main;QuadTree::getOriginX() const;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree10getOriginXEv;;
332;libc.so.6;__xpg_basename;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__xpg_basename;;
241;libcuda.so.570.124.04;cuEGLApiInit;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";cuEGLApiInit;;
87;libucm.so.0.0.0;ucm_bistro_apply_patch_atomic;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";ucm_bistro_apply_patch_atomic;;
45;main;__gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > >::operator++();;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxx17__normal_iteratorIPP8ParticleSt6vectorIS2_SaIS2_EEEppEv;;
8;ld-linux-x86-64.so.2;_dl_rtld_di_serinfo;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0.044863194227219;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;;
-1;[vdso];unknown_function;;0.044863194227219;0.0050000003539026;0;0;0;0;0;0;0;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
