node;pid;tid;core_id;sample_count;
CORENTIN-R5-PC;6121;6163;3;1625;
CORENTIN-R5-PC;6121;6163;4;3688;
CORENTIN-R5-PC;6121;6163;9;602;
CORENTIN-R5-PC;6121;6163;10;428;
CORENTIN-R5-PC;6121;6165;3;1248;
CORENTIN-R5-PC;6121;6165;4;2021;
CORENTIN-R5-PC;6121;6165;9;199;
CORENTIN-R5-PC;6121;6165;10;2814;
CORENTIN-R5-PC;6121;6121;3;2286;
CORENTIN-R5-PC;6121;6121;4;207;
CORENTIN-R5-PC;6121;6121;9;8985;
CORENTIN-R5-PC;6121;6121;10;8;
CORENTIN-R5-PC;6121;6164;3;2502;
CORENTIN-R5-PC;6121;6164;4;240;
CORENTIN-R5-PC;6121;6164;9;812;
CORENTIN-R5-PC;6121;6164;10;2872;
CORENTIN-R5-PC;6141;6160;1;2353;
CORENTIN-R5-PC;6141;6160;2;542;
CORENTIN-R5-PC;6141;6160;7;5620;
CORENTIN-R5-PC;6141;6160;8;176;
CORENTIN-R5-PC;6141;6141;1;94;
CORENTIN-R5-PC;6141;6141;2;372;
CORENTIN-R5-PC;6141;6141;7;7;
CORENTIN-R5-PC;6141;6141;8;10725;
CORENTIN-R5-PC;6141;6162;1;2993;
CORENTIN-R5-PC;6141;6162;2;3957;
CORENTIN-R5-PC;6141;6162;7;1555;
CORENTIN-R5-PC;6141;6162;8;93;
CORENTIN-R5-PC;6141;6161;1;2898;
CORENTIN-R5-PC;6141;6161;2;4216;
CORENTIN-R5-PC;6141;6161;7;1433;
CORENTIN-R5-PC;6141;6161;8;88;
