function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
205;main;QuadTree::calculateForce(Particle*, double&, double&) const;quadtree.cpp:143-143,quadtree.cpp:150-165,quadtree.cpp:171-187;38.812511444092;22.290006637573;0;0;0;0;0;9.3418273925781;5.3650064468384;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree14calculateForceEP8ParticleRdS2_;;
181;main;Particle::getY() const;particle.cpp:18-19;13.538230895996;7.7749991416931;0;0;0;0;0;13.538230895996;7.7749991416931;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getYEv;;
2132;libmpi.so.40.40.7;mca_pml_base_select;;11.45743560791;6.5799999237061;0;0;0;0;0;11.45743560791;6.5799999237061;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";mca_pml_base_select;;
210;main;QuadTree::insertSimple(Particle*);quadtree.cpp:70-82,quadtree.cpp:88-103,quadtree.cpp:109-110;4.6665534973145;2.6799993515015;0;0;0;0;0;4.6665534973145;2.6799993515015;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree12insertSimpleEP8Particle;;
180;main;Particle::getX() const;particle.cpp:14-15;4.5098419189453;2.5900001525879;0;0;0;0;0;4.5098419189453;2.5900001525879;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getXEv;;
202;main;QuadTree::updateCenterOfMass(Particle*);quadtree.cpp:132-138;4.4314846992493;2.5449993610382;0;0;0;0;0;4.4314846992493;2.5449993610382;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree18updateCenterOfMassEP8Particle;;
690;libopen-pal.so.80.0.5;mca_btl_sm_send;;4.109354019165;2.3599998950958;0;0;0;0;0;4.109354019165;2.3599998950958;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";mca_btl_sm_send;;
182;main;Particle::getMass() const;particle.cpp:22-23;4.1006474494934;2.3549997806549;0;0;0;0;0;4.1006474494934;2.3549997806549;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle7getMassEv;;
6;libopen-pal.so.80.0.5;opal_progress;;2.5509338378906;1.4650000333786;0;0;0;0;0;2.5509338378906;1.4650000333786;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";opal_progress;;
450;libopen-pal.so.80.0.5;opal_dl_base_select;;2.4377522468567;1.3999999761581;0;0;0;0;0;2.4377522468567;1.3999999761581;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";opal_dl_base_select;;
207;main;QuadTree::reset();quadtree.cpp:342-366;1.9240833520889;1.1050001382828;0;0;0;0;0;1.9240833520889;1.1050001382828;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree5resetEv;;
208;main;QuadTree::getNode(double, double, double, int);stl_vector.h:99-99,stl_vector.h:1327-1327,stl_iterator.h:1068-1068,quadtree.cpp:31-34,quadtree.cpp:321-330,quadtree.cpp:343-366;1.8892579078674;1.0849999189377;0;0;0;0;0;1.8892579078674;1.0849999189377;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree7getNodeEdddi;;
228;main;QuadTree::recycle();new_allocator.h:191-191,vector.tcc:114-123,quadtree.cpp:332-340;1.5148894786835;0.8700003027916;0;0;0;0;0;1.5148894786835;0.8700003027916;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree7recycleEv;;
811;libc.so.6;__default_morecore;;1.2885262966156;0.74000000953674;0;0;0;0;0;1.2885262966156;0.74000000953674;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
