ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 451;main;quadtree.cpp:143-143,quadtree.cpp:163-163,quadtree.cpp:171-174,quadtree.cpp:181-184;QuadTree::calculateForce(Particle*, double&, double&) const;Innermost;15.839998245239;17.343971252441;30.200220108032;1.26 - 1.00;2.46;4.00 - 4.00;1.26 - 1.00;4;0.00;25.00;11.33 - 14.50;9.00 - 14.50;5.89;2.83 - 3.63;9.00 - 14.50
Loop 452;main;quadtree.cpp:163-163,quadtree.cpp:183-184;QuadTree::calculateForce(Particle*, double&, double&) const;Outermost;6.7699999809265;7.9507818222046;13.844312667847;1.00;NA;NA;1.00;1;NA;NA;0.50;0.50;NA;NA;0.50
Loop 456;main;quadtree.cpp:275-279;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.25999990105629;0.21814893186092;0.37985220551491;1.88;1.15;4.83;4.00;1;0.00;22.92;16.00;8.50;13.96;3.31;4.00
Loop 457;main;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:274-279;QuadTree::updateParticles(double) [clone ._omp_fn.1];Outermost;0.059999980032444;0.05856791883707;0.10198149085045;2.85;1.59;5.58;6.17;7;0.00;22.97;18.50;6.50;11.63;3.31;3.00
Loop 448;main;stl_vector.h:1131-1131,quadtree.cpp:293-293,quadtree.cpp:300-301,quadtree.cpp:308-309;QuadTree::updateParticles(double) [clone ._omp_fn.2];Single;0.034999996423721;0.027162365615368;0.047296516597271;1.00;2.87;4.00;1.00;1;0.00;25.00;60.00;60.00;20.92;15.00;60.00
Loop 461;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.03999999538064;0.026313362643123;0.045818187296391;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 459;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.024999998509884;0.025464488193393;0.044340085238218;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 463;main;quadtree.cpp:72-82,quadtree.cpp:454-454;QuadTree::buildTree();Single;0.054999988526106;0.016976282000542;0.029559981077909;1.00;1.00;16.55;4.90;6561;0.00;16.25;41.67;41.67;41.67;2.52;8.50
Loop 455;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.024999994784594;0.013581182807684;0.023648258298635;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 462;main;stl_algobase.h:262-262,quadtree.cpp:439-442,std_abs.h:72-72;QuadTree::buildTree();Single;0.019999999552965;0.005941588897258;0.010345801711082;1.33;1.00;4.00;6.40;16;30.95;32.74;16.00;12.00;16.00;4.00;2.50
Loop 454;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.0099999997764826;0.0042438432574272;0.0073895994573832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 465;main;new_allocator.h:172-172,new_allocator.h:191-191,stl_vector.h:1131-1131,vector.tcc:114-123,quadtree.cpp:212-238,stl_deque.h:265-267,stl_deque.h:1540-1548,stl_deque.h:1577-1586;QuadTree::computeBalancedRanks(int) const;Single;0.0049999998882413;0.00084874260937795;0.0014778744662181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
