ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 451;main;quadtree.cpp:143-143,quadtree.cpp:163-163,quadtree.cpp:171-174,quadtree.cpp:181-184;QuadTree::calculateForce(Particle*, double&, double&) const;Innermost;16.029998779297;17.525833129883;30.844409942627;1.26 - 1.00;2.46;4.00 - 4.00;1.26 - 1.00;4;0.00;25.00;11.33 - 14.50;9.00 - 14.50;5.89;2.83 - 3.63;9.00 - 14.50
Loop 452;main;quadtree.cpp:163-163,quadtree.cpp:183-184;QuadTree::calculateForce(Particle*, double&, double&) const;Outermost;6.3199996948242;7.4638414382935;13.135911941528;1.00;NA;NA;1.00;1;NA;NA;0.50;0.50;NA;NA;0.50
Loop 456;main;quadtree.cpp:275-279;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.27499997615814;0.21258932352066;0.37414440512657;1.88;1.15;4.83;4.00;1;0.00;22.92;16.00;8.50;13.96;3.31;4.00
Loop 457;main;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:274-279;QuadTree::updateParticles(double) [clone ._omp_fn.1];Outermost;0.059999994933605;0.066006399691105;0.11616729199886;2.85;1.59;5.58;6.17;7;0.00;22.97;18.50;6.50;11.63;3.31;3.00
Loop 448;main;stl_vector.h:1131-1131,quadtree.cpp:293-293,quadtree.cpp:300-301,quadtree.cpp:308-309;QuadTree::updateParticles(double) [clone ._omp_fn.2];Single;0.03999999538064;0.026573818176985;0.046768318861723;1.00;2.87;4.00;1.00;1;0.00;25.00;60.00;60.00;20.92;15.00;60.00
Loop 463;main;quadtree.cpp:72-82,quadtree.cpp:454-454;QuadTree::buildTree();Single;0.064999997615814;0.022287832573056;0.039225243031979;1.00;1.00;16.55;4.90;6561;0.00;16.25;41.67;41.67;41.67;2.52;8.50
Loop 459;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.019999999552965;0.021430473774672;0.037716343998909;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 461;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.025000000372529;0.01885898783803;0.033190682530403;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 455;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.030000001192093;0.017144592478871;0.030173452571034;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 454;main;quadtree.cpp:272-272;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.00999999884516;0.0077150445431471;0.013578014448285;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 462;main;stl_algobase.h:262-262,quadtree.cpp:439-442,std_abs.h:72-72;QuadTree::buildTree();Single;0.029999999329448;0.006857686676085;0.012069115415215;1.33;1.00;4.00;6.40;16;30.95;32.74;16.00;12.00;16.00;4.00;2.50
