function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
232;main;QuadTree::calculateForce(Particle*, double&, double&) const;new_allocator.h:151-151,new_allocator.h:172-172,new_allocator.h:191-191,deque.tcc:167-173,deque.tcc:492-497,deque.tcc:507-507,deque.tcc:516-516,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-172,quadtree.cpp:178-192,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:373-375,stl_deque.h:460-460,stl_deque.h:620-622,stl_deque.h:699-699,stl_deque.h:1540-1548,stl_deque.h:1603-1603,stl_deque.h:2174-2176;67.800186157227;24.625020980835;0;0;0;0;0;1.0875766277313;0.39500769972801;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree14calculateForceEP8ParticleRdS2_;;
183;main;Particle::getY() const;particle.cpp:18-19;19.149234771729;6.9549999237061;0;0;0;0;0;19.149234771729;6.9549999237061;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getYEv;;
182;main;Particle::getX() const;particle.cpp:14-15;5.3689441680908;1.9499999284744;0;0;0;0;0;5.3689441680908;1.9499999284744;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getXEv;;
332;libgomp.so.1.0.0;gomp_barrier_wait_end;;2.7257716655731;0.9899999499321;0;0;0;0;0;2.7257716655731;0.9899999499321;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait_end;;
812;libc.so.6;__libc_malloc;;1.1839210987091;0.43000000715256;0;0;0;0;0;1.1839210987091;0.43000000715256;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
237;main;std::_Deque_base<QuadTree const*, std::allocator<QuadTree const*> >::_M_initialize_map(unsigned long);new_allocator.h:151-151,new_allocator.h:172-172,stl_algobase.h:262-262,stl_deque.h:266-267,stl_deque.h:638-646,stl_deque.h:653-673,stl_deque.h:683-689,stl_deque.h:699-699;1.1426216363907;0.41500002145767;0;0;0;0;0;1.1426216363907;0.41500002145767;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt11_Deque_baseIPK8QuadTreeSaIS2_EE17_M_initialize_mapEm;;
813;libc.so.6;__libc_free;;0.96365702152252;0.35000011324883;0;0;0;0;0;0.96365702152252;0.35000011324883;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
233;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];stl_vector.h:993-993,stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:277-284;0.74339252710342;0.27000007033348;0;0;0;0;0;2.7534494506654e-07;1.0000525207943e-07;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.1;;
184;main;Particle::getMass() const;particle.cpp:22-23;0.3716961145401;0.13499999046326;0;0;0;0;0;0.3716961145401;0.13499999046326;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle7getMassEv;;
336;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;0.28909695148468;0.10499998182058;0;0;0;0;0;0.28909695148468;0.10499998182058;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_end;;
808;libstdc++.so.6.0.33;operator new(unsigned long);;0.09636565297842;0.034999992698431;0;0;0;0;0;0.09636565297842;0.034999992698431;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_Znwm;;
-1;main;unknown_function;;0.055066090077162;0.01999999769032;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
190;main;Particle::getVx() const;particle.cpp:46-47;0.027533045038581;0.00999999884516;0;0;0;0;0;0.027533045038581;0.00999999884516;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle5getVxEv;;
714;libstdc++.so.6.0.33;operator delete(void*);;0.01376652251929;0.00499999942258;0;0;0;0;0;0.01376652251929;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZdlPv;;
324;libgomp.so.1.0.0;gomp_mutex_lock_slow;;0.01376652251929;0.00499999942258;0;0;0;0;0;0.01376652251929;0.00499999942258;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_mutex_lock_slow;;
197;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];stl_vector.h:993-993,stl_vector.h:1131-1131,quadtree.cpp:296-298,quadtree.cpp:305-306,quadtree.cpp:313-314;0.01376652251929;0.00499999942258;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.2;;
188;main;Particle::setVx(double);particle.cpp:38-39;0.01376652251929;0.00499999942258;0;0;0;0;0;0.01376652251929;0.00499999942258;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle5setVxEd;;
186;main;Particle::setY(double);particle.cpp:30-31;0.01376652251929;0.00499999942258;0;0;0;0;0;0.01376652251929;0.00499999942258;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle4setYEd;;
