ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 456;main;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-159,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;QuadTree::calculateForce(Particle*, double&, double&) const;Innermost;39.63501739502;43.187141418457;59.687694549561;1.00;4.00;4.00;1.00;8;0.00;24.37;47.00 - 69.50;47.00 - 69.50;16.12 - 17.38;11.75 - 17.38;47.00 - 69.50
Loop 457;main;new_allocator.h:191-191,quadtree.cpp:158-158,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;QuadTree::calculateForce(Particle*, double&, double&) const;Outermost;1.1249995231628;1.3279002904892;1.835252404213;1.00;NA;NA;1.00;1;NA;NA;0.50;0.50;NA;NA;0.50
Loop 461;main;quadtree.cpp:280-284;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.27499997615814;0.23473969101906;0.32442688941956;1.88;1.15;4.83;4.00;1;0.00;22.92;16.00;8.50;13.96;3.31;4.00
Loop 462;main;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;QuadTree::updateParticles(double) [clone ._omp_fn.1];Outermost;0.17499998211861;0.14292396605015;0.19753104448318;2.85;1.59;5.58;6.17;7;0.00;22.97;18.50;6.50;11.63;3.31;3.00
Loop 464;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.03999999538064;0.026852237060666;0.037111695855856;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 450;main;quadtree.cpp:73-83,quadtree.cpp:459-459;QuadTree::buildTree();Single;0.064999990165234;0.020789356902242;0.028732366859913;1.00;1.00;16.55;4.90;6561;0.00;16.25;41.67;41.67;41.67;2.52;8.50
Loop 446;main;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;QuadTree::updateParticles(double) [clone ._omp_fn.2];Single;0.029999995604157;0.019922727718949;0.027534620836377;1.00;2.87;4.00;1.00;1;0.00;25.00;60.00;60.00;20.92;15.00;60.00
Loop 466;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.035000000149012;0.018190409988165;0.025140434503555;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 459;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.014999997802079;0.0095284609124064;0.013169009238482;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 460;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.014999997802079;0.0095282243564725;0.013168681412935;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 449;main;quadtree.cpp:444-447,std_abs.h:72-72;QuadTree::buildTree();Single;0.024999996647239;0.0077960239723325;0.010774658061564;1.33;1.00;4.00;5.33;16;21.43;30.36;16.00;12.00;16.00;4.00;3.00
Loop 458;main;stl_vector.h:1131-1131,quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Outermost;0.00499999942258;0.0008661593310535;0.0011970936320722;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
