node;pid;tid;core_id;sample_count;
CORENTIN-R5-PC;4581;4581;1;293;
CORENTIN-R5-PC;4581;4581;2;8762;
CORENTIN-R5-PC;4581;4581;7;141;
CORENTIN-R5-PC;4581;4581;8;4324;
CORENTIN-R5-PC;4581;4626;1;112;
CORENTIN-R5-PC;4581;4626;2;2126;
CORENTIN-R5-PC;4581;4626;7;3800;
CORENTIN-R5-PC;4581;4626;8;4862;
CORENTIN-R5-PC;4581;4624;1;10762;
CORENTIN-R5-PC;4581;4624;2;3;
CORENTIN-R5-PC;4581;4624;7;108;
CORENTIN-R5-PC;4581;4624;8;218;
CORENTIN-R5-PC;4581;4625;1;3;
CORENTIN-R5-PC;4581;4625;2;1928;
CORENTIN-R5-PC;4581;4625;7;7109;
CORENTIN-R5-PC;4581;4625;8;2023;
CORENTIN-R5-PC;4601;4628;3;2815;
CORENTIN-R5-PC;4601;4628;4;285;
CORENTIN-R5-PC;4601;4628;9;3973;
CORENTIN-R5-PC;4601;4628;10;4;
CORENTIN-R5-PC;4601;4629;4;3411;
CORENTIN-R5-PC;4601;4629;9;357;
CORENTIN-R5-PC;4601;4629;10;2613;
CORENTIN-R5-PC;4601;4627;4;2615;
CORENTIN-R5-PC;4601;4627;10;3765;
CORENTIN-R5-PC;4601;4601;3;8411;
CORENTIN-R5-PC;4601;4601;4;79;
CORENTIN-R5-PC;4601;4601;9;5601;
CORENTIN-R5-PC;4601;4601;10;3;
