ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 458;main;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-160,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;QuadTree::calculateForce(Particle*, double&, double&) const;Innermost;37.600048065186;40.93424987793;58.087326049805;1.00;3.86;4.00;1.00;8;1.28;24.76;47.00 - 69.50;47.00 - 69.50;18.00;11.75 - 17.38;47.00 - 69.50
Loop 459;main;new_allocator.h:191-191,quadtree.cpp:160-160,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;QuadTree::calculateForce(Particle*, double&, double&) const;Outermost;1.1299995183945;1.2963765859604;1.8396097421646;1.00;NA;NA;1.00;1;NA;NA;0.50;0.50;NA;NA;0.50
Loop 463;main;quadtree.cpp:280-284;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.26500004529953;0.24421887099743;0.34655627608299;1.88;1.15;4.83;4.00;1;0.00;22.92;16.00;8.50;13.96;3.31;4.00
Loop 464;main;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;QuadTree::updateParticles(double) [clone ._omp_fn.1];Outermost;0.15499998629093;0.14005406200886;0.19874228537083;2.85;1.59;5.58;6.17;7;0.00;22.97;18.50;6.50;11.63;3.31;3.00
Loop 448;main;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;QuadTree::updateParticles(double) [clone ._omp_fn.2];Single;0.03999999538064;0.032387733459473;0.045959480106831;1.00;2.87;4.00;1.00;1;0.00;25.00;60.00;60.00;20.92;15.00;60.00
Loop 452;main;quadtree.cpp:73-83,quadtree.cpp:459-459;QuadTree::buildTree();Single;0.070000000298023;0.022758830338717;0.032295681536198;1.00;1.00;16.55;4.90;6561;0.00;16.25;41.67;41.67;41.67;2.52;8.50
Loop 466;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.034999992698431;0.018382022157311;0.026084819808602;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 468;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Single;0.019999999552965;0.01663151755929;0.023600783199072;1.00;1.00;1.00;8.00;1;100.00;100.00;8.00;8.00;8.00;8.00;1.00
Loop 462;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.014999998733401;0.011379386298358;0.016147799789906;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 461;main;quadtree.cpp:277-277;QuadTree::updateParticles(double) [clone ._omp_fn.1];Innermost;0.0099999997764826;0.008753465488553;0.012421514838934;1.00;1.00;1.00;2.00;1;100.00;100.00;8.00;8.00;8.00;8.00;4.00
Loop 451;main;stl_algobase.h:262-262,quadtree.cpp:444-447,std_abs.h:72-72;QuadTree::buildTree();Single;0.024999996647239;0.0061274277977645;0.0086950631812215;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
