group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LS;VFMADD213SD,VMOVSD,;0,0,;0x41f9e,0x41fa3,;Not found;0;Success;16;8;8;8;0;1;
1;L;MOV,;0,;0x42248,;Success;-8;Success;8;8;0;8;8;1;
2;LS;VFMADD213SD,VMOVSD,;0,0,;0x42329,0x4232e,;Not found;0;Success;16;8;8;8;0;1;
2;LS;VFMADD213SD,VMOVSD,;0,0,;0x41fa8,0x41fad,;Not found;0;Success;16;8;8;8;0;1;
1;L;MOV,;504,;0x4223c,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;-8,;0x42230,;Success;-8;Success;8;8;0;8;8;1;
7;LLLLLLL;CMP,VMOVSD,MOV,CMP,MOV,MOV,MOV,;8,16,0,9,0,0,0,;0x41ec8,0x42110,0x42116,0x41ed3,0x42125,0x41ede,0x42275,;Not found;0;Success;42;18;24;24;0;1;
3;LLL;VMOVSD,VMOVSD,VMOVSD,;43284,43893,42987,;0x4216c,0x41f63,0x422ed,;RIP based value;0;Success;24;24;0;914;0;1;
1;L;MOV,;-8,;0x41ec0,;Not found;0;Success;8;8;0;8;0;1;
38;SSSLLSLSLLLLLSLLSSSLSLLLLLLLSSSLLLLLLL;MOV,VMOVSD,VMOVSD,MOV,MOV,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,VSUBSD,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,MOV,CMP,;104,96,88,120,120,80,120,72,88,80,72,96,120,96,120,96,72,80,88,120,96,80,96,56,72,48,88,96,72,80,88,80,88,96,56,72,48,112,;0x4225a,0x4211a,0x42129,0x41ee2,0x42134,0x42139,0x42144,0x42149,0x42154,0x4215a,0x42160,0x42166,0x41f0a,0x41f13,0x42270,0x41f2b,0x41f42,0x41f52,0x41f58,0x42290,0x42299,0x41f6b,0x41f71,0x41f77,0x41f7c,0x41f82,0x41f90,0x422b1,0x422c8,0x422d8,0x422de,0x422f5,0x422fb,0x42301,0x42307,0x4230c,0x42312,0x41fb5,;Success;0;Success;304;72;232;80;0;1;
2;LS;VFMADD213SD,VMOVSD,;0,0,;0x42332,0x42337,;Not found;0;Success;16;8;8;8;0;1;
