function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
231;main;QuadTree::calculateForce(Particle*, double&, double&) const;new_allocator.h:151-151,new_allocator.h:172-172,new_allocator.h:191-191,deque.tcc:167-173,deque.tcc:492-497,deque.tcc:507-507,deque.tcc:516-516,deque.tcc:565-568,quadtree.cpp:142-142,quadtree.cpp:149-170,quadtree.cpp:176-190,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:373-375,stl_deque.h:460-460,stl_deque.h:620-622,stl_deque.h:699-699,stl_deque.h:1540-1548,stl_deque.h:1603-1603,stl_deque.h:2174-2176;72.831405639648;42.235000610352;0;0;0;0;0;1.3536858558655;0.78500366210938;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree14calculateForceEP8ParticleRdS2_;;
183;main;Particle::getY() const;particle.cpp:18-19;15.830286026001;9.1799974441528;0;0;0;0;0;15.830286026001;9.1799974441528;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getYEv;;
182;main;Particle::getX() const;particle.cpp:14-15;4.6387224197388;2.6899995803833;0;0;0;0;0;4.6387224197388;2.6899995803833;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getXEv;;
236;main;std::_Deque_base<QuadTree const*, std::allocator<QuadTree const*> >::_M_initialize_map(unsigned long);new_allocator.h:151-151,new_allocator.h:172-172,stl_algobase.h:262-262,stl_deque.h:266-267,stl_deque.h:638-646,stl_deque.h:653-673,stl_deque.h:683-689,stl_deque.h:699-699;1.4399009943008;0.83499991893768;0;0;0;0;0;1.4399009943008;0.83499991893768;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt11_Deque_baseIPK8QuadTreeSaIS2_EE17_M_initialize_mapEm;;
813;libc.so.6;__libc_free;;1.3967903852463;0.81000006198883;0;0;0;0;0;1.3967903852463;0.81000006198883;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
812;libc.so.6;__libc_malloc;;1.396790266037;0.80999994277954;0;0;0;0;0;1.396790266037;0.80999994277954;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
332;libgomp.so.1.0.0;gomp_barrier_wait_end;;0.94843775033951;0.54999995231628;0;0;0;0;0;0.94843775033951;0.54999995231628;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait_end;;
232;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];stl_vector.h:993-993,stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:275-282;0.66390627622604;0.38499987125397;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.1;;
184;main;Particle::getMass() const;particle.cpp:22-23;0.44835236668587;0.25999996066093;0;0;0;0;0;0.44835236668587;0.25999996066093;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle7getMassEv;;
808;libstdc++.so.6.0.33;operator new(unsigned long);;0.28453129529953;0.16499996185303;0;0;0;0;0;0.28453129529953;0.16499996185303;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_Znwm;;
714;libstdc++.so.6.0.33;operator delete(void*);;0.043110806494951;0.024999996647239;0;0;0;0;0;0.043110806494951;0.024999996647239;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZdlPv;;
-1;main;unknown_function;;0.034488644450903;0.01999999769032;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
197;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];stl_vector.h:993-993,stl_vector.h:1131-1131,quadtree.cpp:294-296,quadtree.cpp:303-304,quadtree.cpp:311-312;0.017244322225451;0.00999999884516;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.2;;
387;libc.so.6;vfwprintf;;0.0086221611127257;0.00499999942258;0;0;0;0;0;0.0086221611127257;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";vfwprintf;;
189;main;Particle::setVy(double);particle.cpp:42-43;0.0086221611127257;0.00499999942258;0;0;0;0;0;0.0086221611127257;0.00499999942258;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle5setVyEd;;
188;main;Particle::setVx(double);particle.cpp:38-39;0.0086221611127257;0.00499999942258;0;0;0;0;0;0.0086221611127257;0.00499999942258;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8Particle5setVxEd;;
