loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
464;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:142-142,quadtree.cpp:149-158,quadtree.cpp:164-170,quadtree.cpp:176-181,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;34.673980712891;24.525007247925;;;;;;34.673980712891;24.525007247925;;;;;;;;
455;main;QuadTree::insertSimple(Particle*);225;new_allocator.h:172-172,new_allocator.h:191-191,deque.tcc:565-568,quadtree.cpp:76-81,quadtree.cpp:87-107,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1540-1541,stl_deque.h:1548-1548,stl_deque.h:1603-1603;Single;4.1071496009827;2.9049990177155;;;;;;4.1071496009827;2.9049990177155;;;;;;;;
465;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:191-191,quadtree.cpp:158-158,quadtree.cpp:164-164,quadtree.cpp:183-186,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;35.847454071045;25.355010986328;;;;;;1.1734714508057;0.82999980449677;;;;;;;;
469;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:278-282;Innermost;0.12724389135838;0.089999973773956;;;;;;0.12724389135838;0.089999973773956;;;;;;;;
470;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:277-282;Outermost;0.22621138393879;0.15999998152256;;;;;;0.098967477679253;0.069999992847443;;;;;;;;
474;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:275-275;Single;0.035345532000065;0.024999998509884;;;;;;0.035345532000065;0.024999998509884;;;;;;;;
457;main;QuadTree::buildTree();228;stl_algobase.h:262-262,quadtree.cpp:442-445,std_abs.h:72-72;Single;0.021207315847278;0.014999995939434;;;;;;0.021207315847278;0.014999995939434;;;;;;;;
451;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];197;stl_vector.h:1131-1131,quadtree.cpp:296-296,quadtree.cpp:303-304,quadtree.cpp:311-312;Single;0.021207315847278;0.014999995939434;;;;;;0.021207315847278;0.014999995939434;;;;;;;;
467;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:275-275;Innermost;0.014138211496174;0.00999999884516;;;;;;0.014138211496174;0.00999999884516;;;;;;;;
458;main;QuadTree::buildTree();228;quadtree.cpp:457-458;Single;0.014138211496174;0.00999999884516;;;;;;0.014138211496174;0.00999999884516;;;;;;;;
