function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
232;main;QuadTree::calculateForce(Particle*, double&, double&) const;new_allocator.h:151-151,new_allocator.h:172-172,new_allocator.h:191-191,deque.tcc:167-173,deque.tcc:492-497,deque.tcc:507-507,deque.tcc:516-516,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-172,quadtree.cpp:178-192,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:373-375,stl_deque.h:460-460,stl_deque.h:620-622,stl_deque.h:699-699,stl_deque.h:1540-1548,stl_deque.h:1603-1603,stl_deque.h:2174-2176;72.436630249023;41.495014190674;0;0;0;0;0;1.4052668809891;0.80500113964081;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8QuadTree14calculateForceEP8ParticleRdS2_;;
183;main;Particle::getY() const;particle.cpp:18-19;15.239703178406;8.7299995422363;0;0;0;0;0;15.239703178406;8.7299995422363;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getYEv;;
182;main;Particle::getX() const;particle.cpp:14-15;4.7045822143555;2.6949999332428;0;0;0;0;0;4.7045822143555;2.6949999332428;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK8Particle4getXEv;;
812;libc.so.6;__libc_malloc;;1.6060161590576;0.91999953985214;0;0;0;0;0;1.6060161590576;0.91999953985214;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
813;libc.so.6;__libc_free;;1.5885592699051;0.9099994301796;0;0;0;0;0;1.5885592699051;0.9099994301796;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
237;main;std::_Deque_base<QuadTree const*, std::allocator<QuadTree const*> >::_M_initialize_map(unsigned long);new_allocator.h:151-151,new_allocator.h:172-172,stl_algobase.h:262-262,stl_deque.h:266-267,stl_deque.h:638-646,stl_deque.h:653-673,stl_deque.h:683-689,stl_deque.h:699-699;1.3005238771439;0.74499952793121;0;0;0;0;0;1.3005238771439;0.74499952793121;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt11_Deque_baseIPK8QuadTreeSaIS2_EE17_M_initialize_mapEm;;
332;libgomp.so.1.0.0;gomp_barrier_wait_end;;0.93393355607986;0.53499984741211;0;0;0;0;0;0.93393355607986;0.53499984741211;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait_end;;
233;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];stl_vector.h:993-993,stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:277-284;0.79427939653397;0.45499956607819;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN8QuadTree15updateParticlesEd._omp_fn.1;;
336;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;0.66335475444794;0.37999993562698;0;0;0;0;0;0.66335475444794;0.37999993562698;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_end;;
808;libstdc++.so.6.0.33;operator new(unsigned long);;0.28803563117981;0.16499997675419;0;0;0;0;0;0.28803563117981;0.16499997675419;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_Znwm;;
